game_id,seed_group,round,position,speaker,role,silent,lr_pub,lr_full,dom_pub,dom_full,rand_pub,rand_full
s2g3,2,0,3,Alice,Parsnip,0,0.002424,0.024996,0.223190,0.274087,0.656648,0.746959
s2g4,2,0,3,Charlie,Carrot,0,0.004059,0.031699,0.232993,0.278776,0.673488,0.740364
s2g5,2,0,3,Charlie,Parsnip,0,0.003649,0.024811,0.234190,0.272992,0.697703,0.774016
s2g6,2,0,3,Alice,Carrot,0,0.001524,0.015064,0.218289,0.260630,0.724717,0.733099
s2g7,2,0,3,Eve,Carrot,0,0.003904,0.033881,0.236033,0.282493,0.636152,0.762181
s2g8,2,0,3,Dave,Carrot,0,0.004465,0.042166,0.238939,0.288791,0.737566,0.752592
s2g9,2,0,3,Dave,Carrot,0,0.017420,0.035267,0.278550,0.283041,0.591143,0.764847
s2g10,2,0,3,Charlie,Parsnip,0,0.003190,0.034790,0.228052,0.280747,0.647651,0.761472
s2g11,2,0,3,Alice,Carrot,0,0.002573,0.022134,0.226070,0.270306,0.552068,0.699105
s2g12,2,0,3,Eve,Carrot,0,0.005045,0.021026,0.240050,0.267118,0.640350,0.729124
s2g13,2,0,3,Dave,Carrot,0,0.013925,0.023679,0.259667,0.270655,0.653084,0.747793
s2g14,2,0,3,Bob,Carrot,0,0.029446,0.100438,0.290702,0.317775,0.680931,0.809374
s2g15,2,0,3,Dave,Parsnip,0,0.004623,0.039974,0.237069,0.286049,0.390514,0.720324
s2g16,2,0,3,Bob,Carrot,0,0.011972,0.045969,0.264492,0.293746,0.708027,0.772051
s2g17,2,0,3,Alice,Carrot,0,0.012318,0.033263,0.261326,0.281946,0.675770,0.755702
s2g18,2,0,3,Dave,Carrot,0,0.005564,0.037352,0.243546,0.286593,0.715112,0.764599
s2g19,2,0,3,Charlie,Carrot,0,0.005719,0.032551,0.242518,0.279722,0.647179,0.771677
s3g0,3,0,3,Dave,Carrot,0,0.014149,0.022418,0.258981,0.271139,0.290112,0.402082
s3g1,3,0,3,Alice,Parsnip,0,0.002636,0.017755,0.226752,0.265015,0.239244,0.394248
s3g2,3,0,3,Eve,Carrot,0,0.004894,0.035050,0.231602,0.282873,0.119511,0.438412
s3g3,3,0,3,Eve,Parsnip,0,0.001875,0.011284,0.213169,0.251068,0.282199,0.295288
s3g4,3,0,3,Alice,Carrot,0,0.015078,0.055507,0.265778,0.290072,0.282279,0.526059
s3g5,3,0,3,Alice,Parsnip,0,0.003013,0.032938,0.229126,0.284434,0.159118,0.419516
s3g6,3,0,3,Charlie,Carrot,0,0.099159,0.285461,0.326814,0.351144,0.176025,0.447284
s3g7,3,0,3,Dave,Carrot,0,0.007041,0.040311,0.254080,0.287009,0.247416,0.462524
s3g8,3,0,3,Eve,Carrot,0,0.013410,0.083857,0.264430,0.312664,0.098820,0.403414
s3g9,3,0,3,Eve,Carrot,0,0.006298,0.036442,0.238143,0.283704,0.333060,0.479537
s3g10,3,0,3,Charlie,Carrot,0,0.003875,0.019762,0.226919,0.264676,0.122267,0.350584
s3g11,3,0,3,Dave,Parsnip,0,0.001646,0.009184,0.219803,0.249394,0.182999,0.394989
s3g12,3,0,3,Dave,Carrot,0,0.001939,0.099497,0.218747,0.315968,0.235170,0.493933
s3g13,3,0,3,Eve,Carrot,0,0.022238,0.037371,0.280291,0.285286,0.188095,0.484103
s3g14,3,0,3,Alice,Carrot,0,0.007512,0.137840,0.246371,0.326171,0.146262,0.414027
s3g15,3,0,3,Charlie,Carrot,0,0.001709,0.028098,0.220381,0.277541,0.102966,0.413799
s3g16,3,0,3,Bob,Carrot,0,0.005752,0.025714,0.241045,0.275705,0.104206,0.377991
s3g17,3,0,3,Alice,Carrot,0,0.007328,0.014345,0.251829,0.262351,0.217401,0.258263
s3g18,3,0,3,Bob,Carrot,0,0.031721,0.133189,0.286894,0.327414,0.349574,0.510549
s3g19,3,0,3,Charlie,Carrot,0,0.006147,0.034625,0.242415,0.284115,0.207117,0.394324
s4g0,4,0,3,Eve,Carrot,0,0.001968,0.019612,0.220937,0.269319,0.138325,0.068891
s4g1,4,0,3,Charlie,Parsnip,0,0.001999,0.040029,0.210112,0.285457,0.067365,0.083841
s4g2,4,0,3,Bob,Carrot,0,0.002958,0.032241,0.235960,0.281092,0.060255,0.071224
s4g3,4,0,3,Charlie,Carrot,0,0.001296,0.025755,0.212152,0.273658,0.073056,0.079020
s4g4,4,0,3,Dave,Carrot,0,0.003630,0.039896,0.238946,0.284815,0.073434,0.087423
